appid,appname,comments
931761,스도쿠,2388
1624682,몬스터워로드,2376
1144995,아이스 에이지: 빌리지,2367
1524118,"중고 1등 장터 '번개장터' (중고카페, 중고나라 앱)",2352
1542479,이노티아 4 (Inotia 4),2350
741391,홈런배틀2 (Homerun Battle 2),2325
1522474,네이버 블로그 - Naver Blog,2305
1613821,Wondershare PowerCam,2302
1607939,문화상품권 컬쳐랜드,2299
1456045,G마켓 – 대한민국 1등 온라인 쇼핑,2295
1681020,퍼즐판타지,2264
806120,하철이,2250
1479634,N드라이브 - 사진 백업 - Naver Ndrive,2238
1696541,활 for Kakao,2224
1856944,소울오브레전드,2212
931729,Ragnarok Violet,2189
806082,자연의 소리 - 10분간 휴식!,2189
1699736,암드 히어로즈,2185
1587174,더비데이즈,2169
1630715,Subway Surfers,2156
1525852,애드라떼 - 스마트한 당신의 필수 어플,2151
1841134,다크어벤저,2143
1614277,네이버 캘린더-디데이/시간표-Naver Calendar,2138
1542539,이터니티워리어스2,2131
898115,아드베나,2130
975243,나의 배경화면 달력,2126
1542749,Critical Strike Portable,2121
1466907,라인 LINE,2120
1613815,싸이메라 (Cymera) - 예뻐지는 카메라,2118
805896,실시간TV웹 - 아이스타트,2110
1587176,바이킹아일랜드 for Kakao,2096
806022,틱톡 - TicToc,2071
1762038,히어로즈워 for Kakao,2060
1935316,오션테일즈 for Kakao,2059
1524061,배달의민족,2046
1525615,씽플레이어 가사지원 음악 플레이어,2032
1542660,메이플스토리Live,2031
1600567,매직트리,2021
1698592,워스토리 for Kakao,1981
1542665,아이모 (The World of Magic),1966
1528802,피싱마스터,1954
1834902,이상한 모험,1952
1144984,크레이지레인2 - 배틀,1946
1825991,던전 헌터 4,1941
1636568,[넥슨]버블파이터 어드벤처,1932
1587170,배틀 오브 레전드 (바하무트),1929
1664306,초코초코타이쿤,1927
1682358,로드 오브 나이츠,1924
1894154,판타지러너즈 for Kakao,1900
1628748,아이나비LTE에어 for Kakao: 네비게이션&지도,1897
1771540,바운스볼 2.5D,1890
1414518,이터니티 워리어스 2,1884
1941379,EA SPORTS™의 FIFA 14,1883
1557936,아야카시 음양록,1858
932687,The Oregon Trail: 서부 개척자,1852
1844384,"카카오홈 KakaoHome - 런처,폰꾸미기,모아보기",1850
1453820,GO락커,1844
820611,AVPlayer (무인코딩 속도조절 자막지원 플레이어),1833
806311,카트라이더 러쉬,1832
1662188,베네치아스토리 소셜 for KAKAO,1832
1587201,한판맞고,1830
806194,에브리팜 by hangame – Every Farm by hangame,1829
1923342,아스팔트 8: 에어본,1821
1941447,카카오뮤직 KakaoMusic,1817
1686253,카카오톡 테마 만들기 - 카테만 [100만 테마],1815
758907,편한가계부 Pro (+ PC가계부),1814
1629675,스머프 빌리지,1813
1525665,아스트로 파일 관리자,1811
805969,"LED Light - LED 손전등, 후레쉬",1808
1682132,버드팡 for Kakao,1807
1783048,Real Racing 3,1802
1616294,앱팡 게임 아이템 문상 틴캐시 해피머니 공짜 돈버는앱,1801
1012151,카카오스토리,1797
1694176,몬스터크라이,1792
1774658,애니팡 사천성 for Kakao,1790
1692780,"벨365 - 무료벨소리,컬러링,문자음,mp3",1788
1809104,지켜줘! 동물특공대 for Kakao,1762
1895374,공 튀기기,1762
1696517,아쿠의 퍼즐패밀리 for Kakao,1756
809496,올레 캐치캐치,1750
942185,9히어로즈 디펜스,1743
806388,"지하철 - 알람기능, 초성검색, 요금정보 추가",1741
1514437,"도돌 폰 3  (4G LTE, 젤리빈도 지원~)",1731
1681294,월드 앳 암즈,1729
806299,해커스-토익,1725
1935525,캔디크러쉬사가 for Kakao,1723
1144515,맨 인 블랙 3,1699
1889653,동창주소록 멤버 - 600만이 쓰는 동창찾기 앱,1696
927162,클럽맞고 온라인 HD,1685
1682269,해피피쉬 for Kakao,1682
1600227,드래곤 섯다,1678
1696560,퍼즐바리스타 for Kakao,1675
806157,쿠폰모아 - 소셜커머스 모음,1675
626290,CGV 영화예매,1668
1673108,점핑스타 for Kakao,1659
1672257,스타 걸,1659
1854926,프린세스 러시 for Kakao,1651
1916230,몬스터 길들이기 for Kakao,1642
1858164,Head Soccer,1637
806347,던전 헌터 3,1636
1587216,패션시티 - Fashion City by Hangame,1634
1474305,엠넷(Mnet),1634
1518195,osu!droid,1631
1525801,알람몬 - 아침을 깨워줄 새로운 알람 ( alarm ),1629
786233,갤럭시 제국,1628
743281,Infinity Blade,1623
1587178,Rule the Sky,1623
1669214,K리그 2012슈퍼사커,1619
1542366,터치크래프트 for Kakao,1619
932666,아니마 - Anima by Hangame,1617
1528310,틱톡 - Tictoc,1611
1216779,하루하나 - 소셜커머스 모음 포탈,1609
1832291,아이언맨 3 – 영화 공식 게임,1599
709459,2012프로야구.,1599
1866775,슈퍼배드,1591
1682203,엘가드 - 헌터,1583
1854925,재배소녀2,1583
1209159,아스팔트 7: 히트,1582
932691,모로저택비밀,1579
1162992,슬라임 대 버섯2,1569
1612426,KoreaTV plus (한국 드라마 다시보기),1565
1607653,스마트택배 (택배조회&자동알림),1559
707362,아스팔트6 아드레날린,1559
1894177,엘가드 프리스트,1557
1894293,말달리자 for Kakao,1552
751217,Battery Doctor Pro - Max Your Battery Life,1544
1683485,모던 컴뱃 4: 제로 아워,1542
1682202,컴투스 홈런왕 for Kakao,1536
1676990,카트라이더 코인러쉬 for Kakao,1527
785632,Facebook,1524
806127,Snoopy’s Street Fair,1519
932775,스윙스타 Kpop,1510
1841139,블리츠 브리게이드 - 온라인 FPS의 진정한 재미!,1505
1813793,리틀레전드 for Kakao,1497
1811314,엘가드 EX,1493
1587180,드림걸,1489
701546,A.부엉이쪽지,1486
1774529,트리니티소울즈 for Kakao,1485
1920395,껨포인트-게임하면 포인트 드려요,1478
1890137,모아모아용 for Kakao,1471
1206208,메이플스토리 Live,1468
1771537,라떼스크린 - 스마트한 당신의 시작,1466
1800826,무료로 음악을 다운로드,1463
806241,pooq for iPhone,1460
1629615,한게임 골든글러브,1457
1898826,"갤럭시 피아노 ( 건반 따라치기, 최고의 음색 )",1456
1825987,로스트 인 스타즈,1455
1541429,9이닝스: 2013프로야구,1455
1146119,카오스베인,1454
929875,배달114,1451
1207705,런던 2012 - 올림픽 공식 모바일 게임,1449
1858092,소울카드마스터4,1437
1696561,영생문 for Kakao,1437
791638,Viber - Free Phone Calls & Text,1435
1466967,LOL백과사전,1434
1889934,꼬꼬마 유랑단 for Kakao,1433
1691319,타이니팡 for Kakao,1431
1894975,파일조 모바일앱~ 오픈! 최신컨텐츠 모바일감상서비스!,1431
1542727,사이터스(Cytus),1430
806425,네이버 뮤직 - Naver Music,1429
1123788,컴투스프로야구2012 PLUS,1419
1916236,스피릿 캐처 for Kakao,1412
1698381,폴링폴링 for Kakao,1412
1144389,심심이 - SimSimi,1408
805904,모바일고객센터,1402
1602624,국민내비 김기사 - 2.0,1400
1145005,캐슬마스터 (Castle Master) 3D,1397
1005251,플랜츠워,1395
1618397,지니 뮤직 - genie,1387
1522485,네이트,1386
806397,위메프 - WeMakePrice,1384
1653366,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,애인찾기)",1384
1144490,스마일플랜츠 - Smile Plants,1383
1674056,[넥슨]크레이지아케이드 Live,1379
1783056,TAMAGO Monster 타마고 몬스터,1379
1527812,카툰워즈,1377
998021,피망 모리노리 - Morinori by Pmang,1374
1925728,학교종이 땡땡땡! for Kakao,1362
1869829,피망 뉴맞고 - 1 vs 1 고스톱,1360
806239,휴대폰인증서서비스,1353
937592,엠넷(Mnet),1347
932777,디펜지 아스트로 POP,1347
1811404,프런트라인 코만도: D-day,1338
1694651,명탐정 코난 - 진실은 하나,1328
1869780,리듬엔조이,1326
1587179,정통맞고 2012,1322
1144519,[무료]원조낚시광4.,1318
724449,더비데이즈 (Derby Days),1314
1682878,Beat the Boss 2,1311
1903277,"히든카드 - 돈버는어플, 게임아이템 제공",1305
1894175,이너월드 InnerWorld,1303
1691321,트레인시티 for Kakao,1302
1522473,네이버 뮤직 - Naver Music,1296
1542373,리듬스캔들 for Kakao,1295
649812,Angry Bi.... Cheats,1293
707364,아스팔트6 아드레날린 HD,1292
1612423,판도라TV,1291
1774659,마이 리틀 나이트 for Kakao,1290
1522600,"마이피플 - 무료대화/문자, 무료통화",1286
1230432,뱀프디펜스,1283
1662843,Need for Speed™ Most Wanted,1278
806259,iHandy 번역기 무료,1276
1776191,LINE PLAY,1275
1683433,펠리컨 폴 for kakao,1275
1681869,컨트랙트 킬러 : 좀비2,1274
1585909,애니팡 for Kakao,1273
1780694,Hungry Shark Evolution,1273
821069,Dream PetHouse,1268
806168,KB스타뱅킹,1265
905461,판타지 타운,1265
1660161,컨트랙트 킬러 2: 그림자 음모,1264
1811854,마이독스,1257
1402517,"제키톡 - (라디오, 워키토키)",1253
1762308,"[무료만화] 짱만화 - 일본만화,순정만화,무협만화",1253
1743184,웹소설 조아라,1252
1915603,팔라독 mini for Kakao,1252
1750876,넥슨 올스타즈,1252
806287,위플 가계부 무료,1252
806044,뻐꾸기 데이팅,1252
1901543,데빌즈,1246
875978,Ployd Black Box (EVENT),1246
936359,배달엔,1239
1533913,카트라이더 러쉬+,1235
1638715,스윗가든,1234
1911311,아틀란스토리 for Kakao,1234
969248,캐치캐치마우스R,1231
806206,제노니아4,1227
941316,"돈되는 설문앱, 오베이",1226
1802604,ONLINE RPG AVABEL,1225
1736098,Temple Run 2,1223
1496315,Smart App Protector(앱 잠금),1222
731636,피파 12 (FIFA 12 by EA SPORTS),1218
1144394,풍운삼국,1214
1802827,[무한 약탈] 바이킹워즈 for Kakao,1210
1860057,헬로키티 빌리지 for Kakao,1209
1471180,MX 플레이어,1204
1144375,번식전쟁 확장판 (Sperm wars EX),1203
1619414,Chrome 브라우저 - Google,1194
753488,CrazyRemote Pro,1193
1615180,"쿠팡 - 소셜커머스, 쇼핑몰, 여행, 할인, 맛집",1192
1602995,우리은행 원터치 개인,1187
837976,Mini Motor Racing,1184
806372,"무료 벨소리, 문자음, 컬러링 다운로드",1184
1635860,틀린그림찾기 PLUS for Kakao,1182
806052,푸딩카메라,1177
1524777,서울버스 (SeoulBus) -  수도권 버스정보,1175
942101,엑시티움,1173
1425906,내가그린 기린그림 for Kakao,1167
1587299,갱스터 리오: 성자의 도시,1164
936220,트래블로 전국맛집,1159
1602622,지하철 종결자 : Smarter Subway,1153
805885,에르엘워즈™,1152
806081,추억의 짱껜뽀,1151
1928312,양띵 in.me,1150
1905721,던전앤소드 for Kakao,1149
931834,가로세로낱말맞추기,1147
806450,스마일포토 모바일,1144
1685431,[고화질]좋은 무음카메라(블랙스크린 셀카 후방),1143
1671535,★카리브오픈★대항해mini,1142
1525995,에어펭귄,1141
806374,오늘만 무료 - 팟게이트,1141
1854896,달샤벳의 소드걸스S for Kakao,1139
1207759,고양이전쟁,1139
1692906,언데드 슬레이어 by Hangame,1134
1605186,도돌 키보드(Q2 키보드),1133
1697942,にゃんこ大戦争,1132
1691323,신대륙이야기 for Kakao,1132
1541477,리얼사커 2012,1128
1860053,영웅의 품격 for Kakao,1127
1845688,모바사커 - 축구게임,1124
1587255,피망 포켓프린세스 Plus,1123
1614672,Instagram,1118
1683458,과일나라 앨리스 for Kakao,1113
1856945,삼국지를 품다 : 응답하라 제갈량,1113
1543791,열혈강호(공식 디지털 코믹 1-57권 전권 수록),1111
983024,"무료만화방 - 순정만화,무협만화,일본만화",1111
937334,몽키3-무한음악다운로드!!,1110
1542792,에르엘워즈2,1108
1777322,레알팜 ( RealFarm ),1107
1871646,주행의 달인,1104
1756684,잠금화면 속 달콤한 혜택 - 허니스크린,1099
1827889,라바링크,1098
1903116,디스코판다: BJ대격돌! for AfreecaTV,1098
1938922,쿠키런 크리스탈 생성기,1097
1479716,"배경화면 HD (3,000만+ 다운로드)",1097
806041,Temple Run,1097
1607663,광고시청 누적1시간4800원~돈버는 어플 Getdon!,1097
860568,Rule the Sky H,1093
750389,"이거 하나면 된다! (음악,공휴일 안울림,녹음,진동 알람)",1090
806133,"다음 지도, 버스 - Daum Maps",1089
1425903,가로세로 낱말맞추기2013,1085
905032,EMPIRE WAR,1085
975255,동화속 파티쉐,1083
806301,네이버 N드라이브 - NAVER  Ndrive,1083
1854916,써니캣츠,1082
1541416,펀치히어로,1081
922042,2011프로야구 FREE,1079
1605157,조용한 카메라,1076
1523319,[무료] 오투잼 아날로그,1074
1681805,라멘이야기♨,1072
922043,2011프로야구 PLUS,1071
1938130,진격1942 for Kakao,1071
806316,올레 tv now,1070
788770,Path,1069
788456,네이트온 톡 - NateOn Talk,1069
1542788,식스건,1067
1188523,Lisn.me (리슨미),1066
1693188,"티몬-비교할수록, 쇼핑은 티몬 (소셜커머스,반값,쿠폰)",1064
1144545,펀치히어로,1062
942182,헬로키티 다이어리,1062
1806896,오더앤카오스 듀얼,1060
1930453,달려라! 마블 for Kakao,1059
805939,마이피플-무료대화 (Daum MyPeople),1057
1766725,카툰워즈블레이드,1057
1506976,U+Box – for Kakao,1056
1144431,엘가드(Elgard),1055
1613820,QuickPic,1054
1465832,사진 숨기기 - KeepSafe Vault 사진 잠금,1051
1894272,【진격의 거인풍 wire 액션 게임】반격의 칼,1048
1587183,"한게임 신맞고 - Dual Gostop, Hangame",1045
1900685,발차기공주 돌격대,1045
791524,Twitter,1045
749235,배경화면!,1044
805929,던전 판타지 온라인 (Dungeon Fantasy Online KR),1043
1173769,몽키배틀,1043
1613817,Camera360 Ultimate,1041
1495969,Skype,1040
1938921,신데렐라 일레븐,1036
1542459,미니게임천국(MiniGame Paradise),1035
1920392,디즈니 사천성 for Kakao,1032
1825192,에어헌터 for Kakao,1032
1676660,실크로드 for Kakao,1030
806118,우리은행 원터치 개인,1027
791852,WhatsApp Messenger,1025
883836,Virtual City Playground HD,1024
1526678,위메프 - 5%적립/할인+무료배송+최저가보상/소셜커머스,1024
1454331,GS SHOP,1022
806408,링톤 메이커 (Ringtone Maker) - 귀하의 음악으로부터 벨소리를 만드십시오!,1019
1522602,다음 지도 - 지하철 - Daum Maps,1017
1879121,이것이 전쟁이다!,1011
1612422,pooq for 안드로이드폰,1011
1633410,Hill Climb Racing,1010
910891,메이플스토리 시그너스기사단,1008
1916231,명랑스포츠! 우리끼리 예체능 for Kakao,1007
1805512,버즈런처 Buzz Launcher 10만개 무료 홈팩,1005
1522093,코레일톡,1004
932751,삼국지천하제패2(FREE),1003
1542579,킹덤로얄,1002
806144,신한S뱅크,998
948708,UPAD,997
1911335,릴리스 for Kakao,995
1768846,Vector,995
1691644,연예인이상형조합기,990
931455,위풍당당 영어발음,987
931614,올레스쿨,986
1689973,"2013 사주팔자,궁합,토정비결,운세,꿈해몽,타로,이름",986
1542646,카툰워즈2,985
1396945,월드 사천성,984
1605158,뭐야이번호,983
820613,AVPlayerHD (무인코딩 속도조절 자막지원 플레이어),983
943560,디펜지 아스트로,983
1952148,포코팡 for Kakao,982
1922350,드래곤프렌즈 Dragon Friends,982
805986,Pocket Princess(포켓 프린세스),980
1925010,IBK ONE뱅킹 개인 - 스마트뱅킹,978
994691,Chicken Revolution : Warrior,974
1765373,그레이프밸리,974
1911917,룰더스카이: 꽃보다룰스(Rule the Sky),970
751260,배터리 힌트！무료！~ 배터리의 전력 수준 및 헬스 스테,967
1920374,라스트 삼국지 for Kakao,967
806183,tving (for iPhone),966
1780607,카드의 신 삼국지,966
1587207,Smurfs' Village,965
1669221,Angry Birds Star Wars,963
806184,가가라이브 gagalive - 랜덤채팅,958
1527861,컬러노트 메모장 - 노트 메모 위젯,955
1900684,모두의밴드 for Kakao,954
806343,돌핀브라우저,953
805990,다음 - Daum,951
986589,아쿠아월드: Dream Aquarium,947
792084,1km,946
1694028,Devil Girls,942
1861118,삼국지 책략전,942
759386,마이원더풀데이즈 * 나의 하루 다이어리 : My wonderful days,940
1493056,스케치퀴즈,939
1206431,파리바게뜨 타이쿤,939
942214,삼국지천하제패2,938
1796682,다함께 쾅쾅쾅 for Kakao,938
1699921,아스트로윙 for Kakao,938
1825190,미니모터레이싱 for Kakao,937
1686249,롤즈 lol 최신소식 챔피언정보 경기소식 lolz,933
1619441,심톡(지역별무료채팅),931
1674990,컴온베이비! (Come on Baby!),926
1501706,Tango,922
806476,T map for SK,921
806302,다음 카페 - Daum Cafe,919
805947,글로리 코레일,916
1144400,듀얼오브페이트,914
907919,Head Soccer,914
1693573,파라다이스빌 for Kakao,913
1681054,키위런!,912
1891005,몬스터 연맹,907
1158400,리틀킹덤,906
1524198,"벨소리,컬러링,무료벨,MP3,문자음,카카오톡-벨팡",905
942120,SwingSwing Touch,905
1958819,비밀의 레시피 for Kakao,902
1477400,"이음: 국가대표 소개팅어플, 1등 소셜데이팅",902
943490,Chicken Revolution,902
1854893,스카이뱅글 for Kakao,898
1448420,Evernote,897
1616600,돈버는놀이터 - 돈벌고 문화정보 얻고 티켓받는 앱,895
1564665,던전 헌터 3,894
1527495,지하철 내비게이션,893
942211,i그룹 연락처+스피드 다이얼,893
983161,Winning Eleven 2012,893
1692753,상풀-로맨스소설1만권 (상상력풀가동),892
941604,떠나요! TV 속 여행,892
806313,올레날씨,891
1941382,레전드오브킹,890
1587236,아이스 에이지: 빌리지,882
1881598,테일즈런너 패밀리,880
1681335,헬로슈퍼마켓,875
725939,두근두근우체통,875
1543677,퇴직한 마법사 이야기,869
1522477,네이버 지도/교통 – Naver Map,868
1542638,프런트라인 코만도,862
1144413,패션 아이콘,861
806263,배송조회,857
806451,New NH스마트뱅킹,855
1526295,옥션,852
1525470,신봉선맞고시즌3,851
1607649,모바일 T world,849
942145,버거퀸 월드,848
806205,한게임 사천성 – Hangame Sachunsung,847
1629805,폰테마샵 키보드(스킨/테마/키패드),846
1698648,마왕전,846
783430,YBM 올인올 영한영 플러스 사전 - English Korean English DIC,845
814532,Mapple3Di 리얼3D 내비게이션,843
806448,네이버 블로그 - Naver Blog,843
762865,Skype,842
787489,라인 LINE,841
1696562,고양이전쟁2,841
1477311,NH 스마트뱅킹,839
1144402,배달맛집 (배달1위 필수어플),837
1640881,퍼즐 주주 for Kakao,836
937611,dailymusic-무료음악듣기[오늘은뭐듣지?],835
1636988,메이플스토리 도적편,835
1920375,비트게더 for Kakao,835
1613819,쉬운 사진 합치기 Free,835
932033,아이슛 - iShoot Mobile,833
1523046,똑똑 가계부 (카드 문자 자동 입력 현명한 카드 생활),829
1677162,로스트 아일랜드,827
1863196,천신 온라인,825
1613816,푸딩카메라 - Pudding Camera,824
1861122,판타지 디펜더스2 By Hangame,823
793645,Bloomy Online 2.1,823
1525867,[문상 무료대방출] - 애즐,822
806315,The Real DJ - 리듬액션게임,821
1903727,RPG 매니저,821
1513025,World's Hardest Game,820
1009856,액션사천성,818
1479746,OK캐쉬백,818
1395218,육상 경기: Athletics,817
1601342,여성생리달력/캘린더/생리일기,816
762965,SmartCalendar(Kor),815
942821,퍼펙워드 1.5 - 완벽 단어암기,815
1669290,MY LITTLE PONY,815
1619412,네이트온UC,811
942090,Cytus,807
1603057,"삼성카드 m포켓: 앱카드, 쿠폰, 멤버십 지갑",806
1943633,내친구 용팔이 for Kakao,806
1839166,매직팡 for Kakao,804
1212775,건 좀비:헬게이트 (GUN ZOMBIE : HELL GATE),803
983898,격투,802
936560,이벤토리,802
1785977,DJMAX RAY by Pmang,801
1805425,귀요미SNG♥위빌드스토리,800
1688337,"남는 무료통화,문자를 통한 작은 습관의차이! 포인트통통",799
1607650,스마트월렛 - 1000만 가입자! 국내 최대 모바일지갑,799
1815298,타마고 몬스터즈 & 포켓몬,799
1938923,슈퍼배드 for Kakao,799
1935314,비틀빌리지,798
1766765,깰수있으면 깨봐 (세상에서가장어려운게임),797
1157239,일루시아2,797
1602623,전국버스,796
1537537,액션퍼즐 패밀리 (Puzzle Family),794
1810675,우파루마운틴 조합법,792
1459553,Hi There,791
1144787,Hero of Magic,790
1587243,터치믹스2,790
1527810,"톡톡스케치 : 손글씨,손그림,사진 꾸미기",790
707958,오럼블레이드 (Aurum Blade),789
806463,네이버 - Naver,788
1811845,세피라 Sefirah free,786
967765,돌핀브라우저HD,784
1693569,초코초코 for Kakao,784
822754,재팬 라이프,783
976156,판타지x러너즈 (FANTASYxRUNNERS),783
806181,한컴오피스 뷰어,782
1635853,★NEW★ 2013 프로야구 드림나인 for Kakao,782
983767,고스트 스나이퍼 : 좀비,781
1587182,Hamster Life,780
1923576,문화상품권 생성기,779
1854901,놀라운 선풍기,778
1524643,살랑살랑 돛단배 (랜덤 채팅),777
1693190,다음 tv팟 - Daum tvPot,776
1616281,[공짜문상] 단 5분만에 문상이 공짜! - 플레이몹스,775
1662189,퀴즈킹 for Kakao,767
1587297,노바 3,766
1872734,갱스터 베가스,764
1510988,Android용 Opera 브라우저,763
1912729,타워 오브 오딘[디펜스],762
937191,SwingSwing Touch Free,762
1525272,스마트폰 계급도 (랭킹),761
1678221,원더주 – 동물 구하기!,761
1421020,"음악, 플레이어 4shared Music",760
1466877,U+ 고객센터,760
1920396,나는마왕이다3 for Kakao,760
1567234,캐슬마스터 (Castle Master) 3D,759
1537683,로직스퀘어 - 네모로직,759
1693813,엔젤런:비키니(Angel Run:Bikini),758
1527848,커플 각서 (오빠믿지 종결자),756
874257,말하는 기린 GINA - Talking Gina the Giraffe,755
797044,홈런배틀 3D (Homerun Battle 3D),754
1527997,크로이센2+,752
1673061,다빈치파이어 for kakao,752
